2017-10-21 09:52:59.462 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.denny.ApplicationTests], using SpringBootContextLoader
2017-10-21 09:52:59.472 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.denny.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-10-21 09:52:59.474 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.denny.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-10-21 09:52:59.612 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.denny.Application for test class com.denny.ApplicationTests
2017-10-21 09:52:59.627 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-10-21 09:52:59.667 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@50a638b5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1817d444, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6ca8564a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@50b472aa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@31368b99, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1725dc0f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3911c2a7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4ac3c60d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4facf68f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@76508ed1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@41e36e46, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@15c43bd9]
2017-10-21 09:52:59.675 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.denny.ApplicationTests], using SpringBootContextLoader
2017-10-21 09:52:59.677 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.denny.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-10-21 09:52:59.677 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.denny.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-10-21 09:52:59.690 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.denny.Application for test class com.denny.ApplicationTests
2017-10-21 09:52:59.700 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-10-21 09:52:59.705 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4a94ee4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4cc451f2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6379eb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@294425a7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@67d48005, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@9f116cc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@12468a38, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1aa7ecca, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@59309333, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5876a9af, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7ec7ffd3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5b239d7d]
